[array([-1.83695165, -0.28689062]), -5]
[array([-1.89680466, -0.28588857]), -5]
[array([-1.91587031, -0.28085474]), -5]
[array([-1.99397604, -0.28238907]), -5]
[array([-2.1278662 , -0.28669335]), -5]
[array([-2.28169694, -0.29343046]), -5]
[array([-2.67954881, -0.30883424]), -5]
[array([-2.77273472, -0.3092624 ]), -5]
[array([-2.90770583, -0.31180851]), -5]
[array([-3.13513275, -0.31941446]), -5]
