pos_data(lat=-25.7453242, long=28.247614799999997, heading=213.49980000000002, speed=1.49)
pos_data(lat=-25.7453263, long=28.2476129, heading=218.48807000000002, speed=1.49)
pos_data(lat=-25.7453272, long=28.247611799999998, heading=220.34015000000002, speed=1.48)
pos_data(lat=-25.7453281, long=28.2476107, heading=224.44584000000003, speed=1.48)
pos_data(lat=-25.7453289, long=28.2476095, heading=228.38772000000003, speed=1.51)
pos_data(lat=-25.7453298, long=28.2476083, heading=229.53542000000002, speed=1.51)
pos_data(lat=-25.7453306, long=28.2476071, heading=230.98790000000002, speed=1.47)
pos_data(lat=-25.745331399999998, long=28.2476058, heading=233.61419, speed=1.54)
pos_data(lat=-25.745331999999998, long=28.247604499999998, heading=236.20018000000002, speed=1.44)
pos_data(lat=-25.7453327, long=28.2476032, heading=240.15751000000003, speed=1.52)
pos_data(lat=-25.745333199999997, long=28.247601799999998, heading=242.63132000000002, speed=1.46)
pos_data(lat=-25.7453336, long=28.2476004, heading=246.94691000000003, speed=1.49)
pos_data(lat=-25.745334099999997, long=28.2475989, heading=247.71126, speed=1.51)
pos_data(lat=-25.745334399999997, long=28.2475974, heading=251.78077000000002, speed=1.5)
pos_data(lat=-25.745334999999997, long=28.247594399999997, heading=257.82912000000005, speed=1.52)
pos_data(lat=-25.7453351, long=28.247593, heading=261.35399, speed=1.43)
pos_data(lat=-25.7453352, long=28.247591399999997, heading=262.75074, speed=1.53)
pos_data(lat=-25.7453352, long=28.247589899999998, heading=267.06163000000004, speed=1.48)
pos_data(lat=-25.745334999999997, long=28.2475885, heading=271.5498, speed=1.47)
pos_data(lat=-25.7453351, long=28.247586899999998, heading=268.88428000000005, speed=1.53)
pos_data(lat=-25.7453349, long=28.247585299999997, heading=273.30898, speed=1.52)
pos_data(lat=-25.7453346, long=28.2475837, heading=277.45581000000004, speed=1.62)
pos_data(lat=-25.7453343, long=28.2475822, heading=279.46744, speed=1.55)
pos_data(lat=-25.745334, long=28.2475806, heading=281.64968000000005, speed=1.56)
pos_data(lat=-25.7453334, long=28.247578999999998, heading=286.5917, speed=1.64)
pos_data(lat=-25.745332899999998, long=28.2475776, heading=287.91067000000004, speed=1.5)
pos_data(lat=-25.745332299999998, long=28.2475761, heading=291.70683, speed=1.61)
