[array([-2.86, 14.13]), 1.3701059775628992, -0.177821868632918, -0.2753810780537964]
[array([-2.86, 14.13]), 1.3701059775628992, -0.177821868632918, -0.2753810780537964]
[array([-2.83, 14.28]), 1.3610594124510371, -0.24417203445162003, -0.2844276431656585]
[array([-2.83, 14.28]), 1.3610594124510371, -0.24417203445162003, -0.2844276431656585]
[array([-2.8 , 14.43]), 1.3705890846998507, -0.2588907422875197, -0.27489797091684487]
[array([-2.8 , 14.43]), 1.3705890846998507, -0.2588907422875197, -0.27489797091684487]
[array([-2.74, 14.57]), 1.2557214617103212, -0.6740130453429387, -0.38976559390637444]
[array([-2.7 , 14.72]), 1.2794808033506442, -0.6557196532106727, -0.36600625226605144]
[array([-2.66, 14.87]), 1.2855217369576477, -0.6897161950769549, -0.3599653186590479]
[array([-2.66, 14.87]), 1.2855217369576477, -0.6897161950769549, -0.3599653186590479]
[array([-2.6 , 15.01]), 1.2207801446183193, -0.9706001952771474, -0.4247069109983763]
[array([-2.6 , 15.01]), 1.2207801446183193, -0.9706001952771474, -0.4247069109983763]
[array([-2.6 , 15.01]), 1.2207801446183193, -0.9706001952771474, -0.4247069109983763]
[array([-2.49, 15.29]), 1.2122987171182527, -1.136883846240517, -0.44339940312636594]
[array([-2.49, 15.29]), 1.2122987171182527, -1.136883846240517, -0.44339940312636594]
[array([-2.43, 15.43]), 1.1767065667481835, -1.3395906683996828, -0.4789915534964351]
[array([-2.43, 15.43]), 1.1767065667481835, -1.3395906683996828, -0.4789915534964351]
[array([-2.36, 15.57]), 1.1661474993065422, -1.475213511030816, -0.48955062093807644]
[array([-2.36, 15.57]), 1.1661474993065422, -1.475213511030816, -0.48955062093807644]
[array([-2.32, 15.7 ]), 1.1774080145745598, -1.4899465474922569, -0.4782901056700588]
[array([-2.32, 15.7 ]), 1.1774080145745598, -1.4899465474922569, -0.4782901056700588]
[array([-2.32, 15.7 ]), 1.1774080145745598, -1.4899465474922569, -0.4782901056700588]
[array([-2.2 , 15.98]), 1.1856225812319956, -1.6248482188455338, -0.470075539012623]
[array([-2.2 , 15.98]), 1.1856225812319956, -1.6248482188455338, -0.470075539012623]
[array([-2.2 , 15.98]), 1.1856225812319956, -1.6248482188455338, -0.470075539012623]
[array([-2.1 , 16.25]), 1.2170641641078987, -1.6456477422433253, -0.43863395613671985]
[array([-2.1 , 16.25]), 1.2170641641078987, -1.6456477422433253, -0.43863395613671985]
[array([-2.05, 16.4 ]), 1.2182562239870103, -1.7055455643762238, -0.402498498529829]
[array([-2.05, 16.4 ]), 1.2182562239870103, -1.7055455643762238, -0.402498498529829]
[array([-2.05, 16.4 ]), 1.2182562239870103, -1.7055455643762238, -0.402498498529829]
[array([-1.98, 16.7 ]), 1.3015340856471445, -1.5134012580135492, -0.3192206368696948]
[array([-1.98, 16.7 ]), 1.3015340856471445, -1.5134012580135492, -0.3192206368696948]
[array([-1.94, 16.85]), 1.3017386382354776, -1.5663531186394346, -0.31901608428136163]
[array([-1.94, 16.85]), 1.3017386382354776, -1.5663531186394346, -0.31901608428136163]
[array([-1.94, 16.85]), 1.3017386382354776, -1.5663531186394346, -0.31901608428136163]
[array([-1.89, 17.15]), 1.3694595076079605, -1.4151755177034895, -0.25129521490887874]
[array([-1.89, 17.15]), 1.3694595076079605, -1.4151755177034895, -0.25129521490887874]
[array([-1.89, 17.15]), 1.3694595076079605, -1.4151755177034895, -0.25129521490887874]
[array([-1.83, 17.44]), 1.3499587693425021, -1.5559968568594136, -0.27079595317433713]
[array([-1.83, 17.44]), 1.3499587693425021, -1.5559968568594136, -0.27079595317433713]
[array([-1.83, 17.44]), 1.3499587693425021, -1.5559968568594136, -0.27079595317433713]
[array([-1.76, 17.73]), 1.338634375023862, -1.6743930774669697, -0.2821203474929772]
[array([-1.76, 17.73]), 1.338634375023862, -1.6743930774669697, -0.2821203474929772]
[array([-1.76, 17.73]), 1.338634375023862, -1.6743930774669697, -0.2821203474929772]
[array([-1.68, 18.01]), 1.305517450598971, -1.89524871038323, -0.3294762525690589]
[array([-1.68, 18.01]), 1.305517450598971, -1.89524871038323, -0.3294762525690589]
[array([-1.66, 18.16]), 1.368554903456652, -1.7138321500871956, -0.26643879971137796]
[array([-1.66, 18.16]), 1.368554903456652, -1.7138321500871956, -0.26643879971137796]
[array([-1.65, 18.31]), 1.4313410289020454, -1.531876319426391, -0.20365267426598455]
[array([-1.63, 18.45]), 1.4139802388324574, -1.6142900099537754, -0.22101346433557256]
[array([-1.63, 18.45]), 1.4139802388324574, -1.6142900099537754, -0.22101346433557256]
[array([-1.63, 18.45]), 1.4139802388324574, -1.6142900099537754, -0.22101346433557256]
[array([-1.63, 18.45]), 1.4139802388324574, -1.6142900099537754, -0.22101346433557256]
[array([-1.62, 18.76]), 1.4883654734207556, -1.423916537439466, -0.1466282297472743]
[array([-1.61, 18.9 ]), 1.4943446223722379, -1.4164612749565295, -0.14064908079579208]
[array([-1.61, 18.9 ]), 1.4943446223722379, -1.4164612749565295, -0.14064908079579208]
[array([-1.61, 18.9 ]), 1.4943446223722379, -1.4164612749565295, -0.14064908079579208]
[array([-1.58, 19.19]), 1.5029709122002193, -1.4416362494931176, -0.13202279096781067]
[array([-1.58, 19.19]), 1.5029709122002193, -1.4416362494931176, -0.13202279096781067]
[array([-1.58, 19.19]), 1.5029709122002193, -1.4416362494931176, -0.13202279096781067]
[array([-1.58, 19.19]), 1.5029709122002193, -1.4416362494931176, -0.13202279096781067]
[array([-1.57, 19.49]), 1.5089338295896582, -1.4543727241800906, -0.3191862121763269]
[array([-1.57, 19.49]), 1.5089338295896582, -1.4543727241800906, -0.3191862121763269]
[array([-1.57, 19.49]), 1.5089338295896582, -1.4543727241800906, -0.3191862121763269]
[array([-1.56, 19.8 ]), 1.532636971628068, -1.4769737711812327, -0.2954830701379172]
[array([-1.56, 19.8 ]), 1.532636971628068, -1.4769737711812327, -0.2954830701379172]
[array([-1.55, 19.94]), 1.5107290752582598, -1.5897284554544875, -0.31739096650772525]
[array([-1.56, 20.09]), 1.5866950545500877, -1.3759436986878901, -0.24142498721589734]
[array([-1.56, 20.09]), 1.5866950545500877, -1.3759436986878901, -0.24142498721589734]
[array([-1.55, 20.23]), 1.5472481699940634, -1.5559920634904791, -0.28087187177192163]
[array([-1.55, 20.23]), 1.5472481699940634, -1.5559920634904791, -0.28087187177192163]
[array([-1.56, 20.38]), 1.600822796713281, -1.4070725484010516, -0.227297245052704]
[array([-1.56, 20.38]), 1.600822796713281, -1.4070725484010516, -0.227297245052704]
[array([-1.56, 20.38]), 1.600822796713281, -1.4070725484010516, -0.227297245052704]
[array([-1.57, 20.68]), 1.600822796713281, -1.477343408975801, -0.227297245052704]
[array([-1.57, 20.68]), 1.5925825737158403, -1.5097241538730837, -0.23553746805014475]
[array([-1.57, 20.68]), 1.5925825737158403, -1.5097241538730837, -0.23553746805014475]
[array([-1.57, 20.68]), 1.5925825737158403, -1.5097241538730837, -0.23553746805014475]
[array([-1.6 , 20.99]), 1.6358726732847566, -1.482206461665729, -0.4607746481241948]
[array([-1.6 , 20.99]), 1.6358726732847566, -1.482206461665729, -0.4607746481241948]
[array([-1.6 , 20.99]), 1.6358726732847566, -1.482206461665729, -0.4607746481241948]
[array([-1.63, 21.29]), 1.6559308697133015, -1.5490705212654647, -0.4407164516956499]
[array([-1.63, 21.29]), 1.6559308697133015, -1.5490705212654647, -0.4407164516956499]
[array([-1.63, 21.29]), 1.6559308697133015, -1.5490705212654647, -0.4407164516956499]
[array([-1.68, 21.59]), 1.7136305821196078, -1.469596069225725, -0.38301673928934354]
[array([-1.68, 21.59]), 1.7136305821196078, -1.469596069225725, -0.38301673928934354]
[array([-1.68, 21.59]), 1.7136305821196078, -1.469596069225725, -0.38301673928934354]
[array([-1.74, 21.88]), 1.7490895638677508, -1.449736000066951, -0.34755775754120055]
[array([-1.74, 21.88]), 1.7490895638677508, -1.449736000066951, -0.34755775754120055]
[array([-1.74, 21.88]), 1.7490895638677508, -1.449736000066951, -0.34755775754120055]
[array([-1.74, 21.88]), 1.7490895638677508, -1.449736000066951, -0.34755775754120055]
[array([-1.84, 22.18]), 1.8412406794450242, -1.2223896596455113, -0.25540664196392715]
[array([-1.84, 22.18]), 1.8412406794450242, -1.2223896596455113, -0.25540664196392715]
[array([-1.84, 22.18]), 1.8412406794450242, -1.2223896596455113, -0.25540664196392715]
[array([-1.91, 22.48]), 1.8042147410944402, -1.446214989526463, -0.34361971637020683]
[array([-1.91, 22.48]), 1.8042147410944402, -1.446214989526463, -0.34361971637020683]
[array([-1.91, 22.48]), 1.8042147410944402, -1.446214989526463, -0.34361971637020683]
[array([-1.98, 22.79]), 1.8064454464114146, -1.5539744470976797, -0.3413890110532325]
[array([-1.98, 22.79]), 1.8064454464114146, -1.5539744470976797, -0.3413890110532325]
[array([-1.98, 22.79]), 1.8064454464114146, -1.5539744470976797, -0.3413890110532325]
[array([-1.98, 22.79]), 1.8064454464114146, -1.5539744470976797, -0.3413890110532325]
[array([-2.09, 23.09]), 1.883037475305934, -1.38310860354008, -0.26479698215871306]
[array([-2.09, 23.09]), 1.883037475305934, -1.38310860354008, -0.26479698215871306]
[array([-2.09, 23.09]), 1.883037475305934, -1.38310860354008, -0.26479698215871306]
[array([-2.22, 23.37]), 1.9448336499995964, -1.2380695909112243, -0.20300080746505067]
[array([-2.22, 23.37]), 1.9448336499995964, -1.2380695909112243, -0.20300080746505067]
[array([-2.26, 23.52]), 1.9058126257810581, -1.4052970658144273, -0.17056475588804343]
[array([-2.26, 23.52]), 1.9058126257810581, -1.4052970658144273, -0.17056475588804343]
[array([-2.26, 23.52]), 1.9058126257810581, -1.4052970658144273, -0.17056475588804343]
[array([-2.39, 23.79]), 2.001666457366437, -1.1427206495286688, -0.07471092430266468]
[array([-2.39, 23.79]), 2.001666457366437, -1.1427206495286688, -0.07471092430266468]
[array([-2.39, 23.79]), 2.001666457366437, -1.1427206495286688, -0.07471092430266468]
[array([-2.53, 24.07]), 1.9960906540050907, -1.1673203257956892, -0.0802867276640109]
[array([-2.53, 24.07]), 1.9960906540050907, -1.1673203257956892, -0.0802867276640109]
[array([-2.6, 24.2]), 2.0303809632860985, -1.0801368502106479, -0.04599641838300306]
[array([-2.6, 24.2]), 2.0303809632860985, -1.0801368502106479, -0.04599641838300306]
[array([-2.6, 24.2]), 2.0303809632860985, -1.0801368502106479, -0.04599641838300306]
[array([-2.75, 24.49]), 2.0320395496742685, -1.075525987019179, -0.0443378319948331]
[array([-2.75, 24.49]), 2.0320395496742685, -1.075525987019179, -0.0443378319948331]
[array([-2.75, 24.49]), 2.0320395496742685, -1.075525987019179, -0.0443378319948331]
[array([-2.75, 24.49]), 2.0320395496742685, -1.075525987019179, -0.0443378319948331]
[array([-2.88, 24.78]), 2.0082519337000626, -1.1733206599970343, -0.01588308894939683]
[array([-2.88, 24.78]), 2.0082519337000626, -1.1733206599970343, -0.01588308894939683]
[array([-2.97, 24.91]), 2.0910576837975317, -0.9222142136327671, 0.06692266114807222]
[array([-2.97, 24.91]), 2.0910576837975317, -0.9222142136327671, 0.06692266114807222]
[array([-3.12, 25.2 ]), 2.0743287029171658, -0.9588604444668671, 0.05019368026770632]
[array([-3.12, 25.2 ]), 2.0743287029171658, -0.9588604444668671, 0.05019368026770632]
[array([-3.12, 25.2 ]), 2.0743287029171658, -0.9588604444668671, 0.05019368026770632]
[array([-3.29, 25.46]), 2.113654985221878, -0.8112746475491437, 0.08951996257241834]
[array([-3.29, 25.46]), 2.113654985221878, -0.8112746475491437, 0.08951996257241834]
[array([-3.29, 25.46]), 2.113654985221878, -0.8112746475491437, 0.08951996257241834]
[array([-3.47, 25.72]), 2.1629537298066346, -0.6374596671721661, 0.13881870715717515]
[array([-3.47, 25.72]), 2.1629537298066346, -0.6374596671721661, 0.13881870715717515]
[array([-3.56, 25.83]), 2.1895431228290674, -0.5249672963355749, 0.16540810017960794]
[array([-3.56, 25.83]), 2.1895431228290674, -0.5249672963355749, 0.16540810017960794]
[array([-3.63, 25.97]), 2.151090377814979, -0.6288436757239427, 0.12695535516551937]
[array([-3.63, 25.97]), 2.151090377814979, -0.6288436757239427, 0.12695535516551937]
[array([-3.63, 25.97]), 2.151090377814979, -0.6288436757239427, 0.12695535516551937]
[array([-3.82, 26.2 ]), 2.203952561133533, -0.3547647454198261, 0.3776071403972545]
[array([-3.9 , 26.33]), 2.173711590250077, -0.3912254123791546, 0.3473661695137986]
[array([-3.9 , 26.33]), 2.173711590250077, -0.3912254123791546, 0.3473661695137986]
[array([-3.9 , 26.33]), 2.173711590250077, -0.3912254123791546, 0.3473661695137986]
[array([-3.9 , 26.33]), 2.173711590250077, -0.3912254123791546, 0.3473661695137986]
[array([-4.1 , 26.56]), 2.2443778772682252, -0.05640300487258062, 0.41803245653194665]
[array([-4.1 , 26.56]), 2.2443778772682252, -0.05640300487258062, 0.41803245653194665]
[array([-4.31, 26.8 ]), 2.2819207821432497, 0.20435439311490913, 0.4555753614069711]
[array([-4.31, 26.8 ]), 2.2819207821432497, 0.20435439311490913, 0.4555753614069711]
[array([-4.31, 26.8 ]), 2.2819207821432497, 0.20435439311490913, 0.4555753614069711]
[array([-4.55, 27.01]), 2.3692877757078805, 0.8072544214779824, 0.7828677202925067]
